id,Expert,BuildItem,Cost,StructuralRisk,JobDifficulty
1,System,5.4m,1,1,1
2,System,6m,1.1,1.1,0.95
3,System,7.2m,1.2,1.2,0.9
4,System,8m,1.25,1.3,0.85
