id,Expert,BuildItem,Cost,StructuralRisk,JobDifficulty
1,System,標準管材,1,1,1
2,System,高強管材,1.1,0.9,0.95
3,System,耐蝕管材,1.05,0.95,0.95
4,System,高強高耐蝕管材,1.15,0.8,0.9
