id,Expert,BuildItem,Cost,StructuralRisk,JobDifficulty
1,System,圓頂UBP,1,1,1
2,System,圓力霸UTP,1.1,0.95,1
3,System,山型VBP,1.1,0.98,1
4,System,山力霸VTP,1.2,0.9,1
5,System,W型力霸,1.3,0.9,1
6,System,單斜SP,1,0.92,1
