id,Expert,BuildItem,Cost,StructuralRisk,JobDifficulty
1,System,直插40cm,1,1,1
2,System,直插50cm,1.1,0.9,1
3,System,直插30cm,0.9,1.1,1
4,System,直插40cm+地錨,1.2,0.8,1
5,System,直插50cm+地錨,1.3,0.7,1
6,System,直插30cm+地錨,1.1,0.85,1
