id,Expert,BuildItem,Cost,StructuralRisk,JobDifficulty
1,System,"1M-1""",1,1,1
2,System,"1M-1-1/4""",1.2,1.1,1
3,System,"1M-1-1/2""",1.3,1.2,1
4,System,"1.5M-1-1/2""",1.2,0.95,1
5,System,"2M-2""",1,0.9,1
6,System,"0.5M-1""",1.8,0.6,1
7,System,"0.5-3/4""",1.5,0.7,1
8,System,"0.5-1/2""",1.2,0.8,1
