id,Expert,BuildItem,Cost,StructuralRisk,JobDifficulty
1,System,6m,1,1,1
2,System,7m,1.05,1.05,0.95
3,System,8m,1.1,1.1,0.9
4,System,9m,1.15,1.15,0.85
5,System,10m,1.2,1.2,0.8
